date,Total North America,Total S. & Cent. America,Total Europe,Total CIS,Total Middle East,Total Africa,Total Asia Pacific,Total World
1965,12946,1667,8219,3314,870,550,3205,30771
1966,13601,1762,9037,3549,894,601,3693,33137
1967,14170,1820,9826,3866,923,598,4300,35503
1968,15113,1941,10775,4107,951,630,4902,38420
1969,15943,2033,12031,4376,985,644,5715,41727
1970,16622,2142,13323,4826,1044,710,6646,45313
1971,17202,2265,14000,5127,1098,801,7393,47886
1972,18493,2450,14952,5547,1180,868,7940,51430
1973,19564,2686,16076,5981,1276,935,9058,55577
1974,18973,2772,15134,6588,1361,967,8996,54790
1975,18706,2775,14654,6912,1317,1014,8964,54342
1976,20004,2897,15609,7055,1502,1124,9516,57706
1977,21035,3026,15548,7376,1706,1194,10036,59921
1978,21494,3164,16523,7822,1776,1260,10857,62896
1979,21331,3300,16910,7968,2018,1345,11152,64025
1980,20032,3365,15769,8338,1933,1419,10553,61408
1981,19044,3343,14772,8442,2116,1513,10304,59533
1982,18158,3251,14112,8388,2327,1590,10020,57845
1983,17980,3139,13851,8273,2597,1643,10183,57665
1984,18558,3132,13915,8259,2833,1675,10535,58908
1985,18639,3115,15594,6636,3012,1721,10602,59319
1986,19234,3312,16099,6725,3001,1697,11033,61101
1987,19740,3411,16214,6725,3177,1786,11382,62436
1988,20428,3479,16290,6712,3310,1865,12322,64407
1989,20633,3488,16248,6772,3420,1942,13130,65632
1990,20298,3475,16560,6702,3489,1980,13861,66364
1991,20005,3515,16342,6514,3646,1992,14463,66477
1992,20366,3738,16059,6102,3851,2034,15410,67561
1993,20573,3812,15621,5021,4145,2066,16158,67397
1994,21185,4037,15576,4366,4585,2118,17109,68976
1995,21205,4179,15858,3865,4601,2193,18195,70095
1996,21879,4265,16100,3379,4719,2238,19062,71642
1997,22291,4525,16226,3367,4951,2307,20073,73741
1998,22710,4710,16591,3203,4862,2368,19676,74119
1999,23361,4721,16446,3238,4853,2450,20604,75674
2000,23588,4720,16209,3234,5087,2464,21183,76485
2001,23553,4813,16497,3269,5320,2510,21404,77366
2002,23645,4784,16441,3195,5456,2561,22156,78238
2003,23977,4655,16532,3362,5674,2636,23073,79908
2004,24783,4823,16654,3354,5998,2754,24288,82654
2005,24839,4985,16788,3352,6452,2899,24576,83891
2006,24600,5168,16822,3497,6722,2925,25182,84916
2007,24643,5373,16509,3523,6973,3030,26050,86100
2008,23221,5586,16297,3600,7391,3196,25879,85170
2009,22235,5519,15561,3487,7730,3322,26228,84083
2010,22697,5791,15409,3566,7987,3489,27917,86856
2011,22445,6061,14976,3838,8293,3405,28802,87820
2012,22006,6234,14458,3934,8642,3575,29935,88784
2013,22385,6418,14296,3914,8868,3712,30560,90152
2014,22483,6420,14032,4097,8993,3773,31105,90903
2015,22810,6298,14360,3952,8987,3859,32344,92610
2016,22961,6136,14669,4036,9191,3894,33519,94404
2017,23160,6078,14991,4021,9156,3938,34669,96013
2018,23692,5946,14936,4157,9174,3986,35457,97348
2019,23536,5923,14896,4227,9416,4096,36178,98272